"[ ...요즘 눈에 띄는 기저귀가 있어서 사용해본..애플크럼비 기저귀예요....지금 홈페이지에서 친구추가이벤트중이라], 긍정 텍스트 확률 : 89.18%"
"[ .....최근 리아가 를 넘게되고나서 .기존 기저귀들이 허벅지에 살짝 자국이 남길래.밤기저귀로 유명한 팸퍼스를 핫딜때 구입..초보엄마는 신제품 스와들러를 써보고 싶었으나.베이비드라이로 잘못사서ㅠㅠ .신축성과 부드러움은 아주 마음에 들었으나 .특유의 베이비파우더향이 너무 강하기도 하고...권장키로수가 라길래.단계를 구매했더니 허벅지가 약간 커서 .처음으로 응가가 새는 사태가 발생 ㅠㅠ...결국 육아선배인 절친의 추천으로 .써봄 싸이트를 통해 몇가지 기저귀 샘플들을 .신청해 써보며 내 아이에게 잘 맞는 기저귀는 .뭐가 있을까 비교해보는중이고], 긍정 텍스트 확률 : 88.76%"
"[ ....다만 리아도 대부분의 아가들처럼 꼭지는.더블하트의 모유실감만 좋아하는지라.닥터브라운젖병에 모유실감꼭지 조합으로.수유를 하는데], 긍정 텍스트 확률 : 72.12%"
"[ ...어느덧 곧 일을 앞두고.이렇게나 훌쩍 큰 사랑스러운 내딸 ...요 다음번 포스팅은.정부지원산후도우미아기욕조카시트.아기옷 등을 포함한 다른 육아템들에 대해 할 예정 ..육아중 작성이라 조잡스럽고 매끄럽진 못하지만.나도 출산을 준비하며], 긍정 텍스트 확률 : 99.87%"
"[ ☆저희아이는 키로대 허벅지 날씬한 편이에요☆후기가 많이 없는 것 같아서 선택하시는데 도움 되시라고 리뷰 적어보아요.한팩 구매후 생각보다 기저귀가 괜찮아서 이번 딜때박스 쟁였어요제 지난 후기 보시면 아시겠지만 전 낮 기저귀 유목민 이구요 저번 후기 적었던 기저귀는..옆선이 안뜯겨서ㅜㅜㅜ 손목보호차 탈락했어요...다시 찾아헤메다 발견한 기저귀가 아이두레에요후기 적어볼께요...... ......? 본문 이미지크기비교애플크럼비ㅡ로맘스ㅡ네추럴블라썸ㅡ메리즈ㅡ아이두레ㅡ아이두레아이두레과 나머지 기저귀들가 비슷해요크기는 비슷해보이지만 개인적인 느낌으론 허벅지쪽 샘방지선이 좀 짱짱한 느낌이라 이번에로 업해서 시켜봤어요....... ......? 본문 이미지과사이즈의 차이는 밑위와 허리밴드 부분이 살짝 커요.한가지 개선했으면 하는 점은 기저귀에 사이즈표시가 안되어있어서이랑랑 헷갈려요ㅜㅜ...... ......? 본문 이미지두께아이두레ㅡ메리즈ㅡ블라썸ㅡ로맘스ㅡ애플순이에요.제 느낌으론 아이두레ㅡ블라썸ㅡ로맘스ㅡ메리즈애플 순으로 얇아요...... ......? 본문 이미지기저귀 밑부분에 셔링이 들어가있어서 핏이 처지지않아요. 저는 이렇게 셔링들어간 기저귀를 개인적으로 선호해요...... ......? 본문 이미지옆선도 높고 날개도 긴 편이에요...... ......? 본문 이미지뒷모습아무것도 없어요.처음엔 당황?했지만 쓰다보니 깔끔해서 마음에 들어요...... ......? 본문 이미지착용샷옆 날개가 풍성?해요. 그래서 새지않아 만족감이 높았어요....... ......? 본문 이미지...... ......? 본문 이미지뒷모습스모핏 싫어하는데 엉덩이 다 감싸주어 너무 좋아요....... ......? 본문 이미지총평저희 아이는 소변량이 많고 변이 무른편이라 순간 흡수력이 나쁘면 변은 새고 소변은 역류해요얇다는 기저귀 몇 브랜드 시도 해봤는데 얇아서 그런지 역류하더라구요.그렇다고 날도 더운데 두꺼운 기저귀를 채울 수도 없고ㅜㅜ 이렇게 방황하던중우연히 이 기저귀 써봤는데 제 기준에선 아주 훌륭해요촉감 부드럽고 순간흡수력 나쁘지않고.원래 기저귀 시간 반에서 두시간 마다 갈아주는데 이 기저귀는 시간반에서 시간도 버티더라구요.딜뜨면 사이즈도 쟁여볼까해요다른단점 없이 쭈욱 가서 정착했음 좋겠어요ㅜㅜ 기저귀 유목민 힘드네요ㅜㅜㅜㅜ], 긍정 텍스트 확률 : 98.87%"
"[♀쿠팡추천상품리뷰⬇ ], 긍정 텍스트 확률 : 79.58%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.제조년월일 제조국 중국개당 수량 매입수량 팩단계 특대쿠팡상품번호 인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 목요일오후 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.❤공감과 ✍댓글 달아주세요품절임박 ▽상품 구매리뷰 후기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 긍정 텍스트 확률 : 77.95%"
"[ 보ㅅ이], 긍정 텍스트 확률 : 80.15%"
"[ 하ㄱ스 등등 안써 본게 없어요 근데 이중에 흡수력은 진짜 탑인것같아요 뒤가 길어서 응가도 안넘치고 양옆에 샘방지도 너무너무 좋아요 근데 딱 한가지 뒤에 허리 밴드가 너무 짱짱해요 너무너무 ㅠㅠ두께두꺼워요개월수몸무게사이즈예상보다 작아요상품평.흡수력이 좋다고해서 구매해보았어요.기저귀 열어보니 부들거려서 아기 허벅지쪽이랑 덜 쓸릴거 같아요채워보고 다시 후기 알려드릴께요.두께보통이에요개월수몸무게.사이즈예상보다 커요상품평.디자인보고 샀는데 품질도 좋네요일단 디자인이 이뻐서 사봤는데 흡수력이 좋아 만족해요 지인에게 추천하고싶어요두께보통이에요개월수몸무게사이즈정사이즈예요 상품문의구매한 상품의 취소반품은 마이쿠팡 구매내역에서 신청 가능합니다.상품문의 및 후기게시판을 통해 취소나 환불], 긍정 텍스트 확률 : 99.61%"
"[교환환불 및 배송 등 해당 상품 자체와 관련 없는 문의는 고객센터 내문의하기를 이용해주세요.해당 상품 자체와 관계없는 글], 긍정 텍스트 확률 : 54.94%"
"[.아이의 손이 닿지 않는 곳에 보관해주시고], 긍정 텍스트 확률 : 82.50%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[역대가할인 타임딜 번가 단독 오가닉 애플크럼비 기저귀 밴드팬티 ], 긍정 텍스트 확률 : 66.12%"
"[첫 아기를 낳고 나도 초보엄마의 생활이 시작되었어요.누구나처럼 육아에대해 아무것도 몰랐던 나였기에.. 분유도 기저귀도 조리원에서 사용하던 그대로 쭉 써왔었네요. 울 아기 첫 기저귀는 가장 많이쓴다는 하 네이처 였어요. 조리원에서 쓰기도했고], 긍정 텍스트 확률 : 97.42%"
"[선물받았던거기에 다 쓸때까지 아무생각하지않고 사용했었어요. 나름 만족하며 사용하고있었던 일무렵.. 아기의 성장과함께 응아 양도 많아지기 시작할때였어요. 완모아기라 묽은 응아를 싸주시던 우리 로우니....... 덕분에.... 응아가 여기저기새거나], 긍정 텍스트 확률 : 56.06%"
"[ 엄마가 울애기 응아가 머 더럽겠냐며. 그보단 울아기 피부발진이 걱정되었어요.그러면서 처음으로 기저귀를 바꿔보려 여기저기 서칭하기시작했드랬죱주변 지인들의 추천과 통해서 열심히 검색하다가 밤귀저기로 유명한 독일 기저귀 킨 를 알게되어 한동안사용하게되었어요. 해당 기저귀는 전에쓰던 하 기저귀에비해 화약냄새가 좀 많이나는것같았어요.그리고 사용하다보니엉덩이 발진과함께 등은여전하더라구요. ㅠ], 긍정 텍스트 확률 : 96.33%"
"[ 깊은 한숨과함께 다시 기저귀 유목민 생활시작.... 열 검색하던 어느날..], 긍정 텍스트 확률 : 99.51%"
"[ 티몬에서 택배비 원만 결제하면 샘플팩 개를 보내주는 이벤트를 통해 처음으로 애플크럼비 기저귀를 알게되었어요. 하도 좋다좋다기에 ... 바로 샘플팩부터 신청했었드랬죱 샘플팩을 사용해본 몇일간....... 바로 이거야 내아기 엉덩이를 책임져줄 내가찾던 기저귀였어요], 긍정 텍스트 확률 : 80.47%"
"[ 포장지부터 고급스러움이 묻어나죠?? ㅎㅎ], 긍정 텍스트 확률 : 75.24%"
"[ 현재 . 키로인 우리 로우니는 중형사이즈를 사용중이에요], 긍정 텍스트 확률 : 95.08%"
"[소변선이 선명하게 보이네요. 이뿌다 이뽀 무슨 기저귀가 이렇게 고급지죠?? 그리고 애 플크럼비의 최대 장점중 하나죠....천연 유기농 기저귀에 걸맞는... 극강의 부드러움입니다....ㅠㅠ 이건 직접 만져봐야해요..... 기존 기저귀이비해....... 어찌나 부들부들한지.... 오버 도 안보태고...정말 천에가깝다고 느낄정도로 부드러웠어요.], 긍정 텍스트 확률 : 97.56%"
"[ 기존에쓰던 킨 기저귀와 비교컷입니다. 사이즈도 애플크럼비 기저귀가 좀더 크다는게 보이시죠??디자인도 확연히 다르네요... 애플크럼비가 더욱 고급고급스럽습니당 ㅎㅎ], 긍정 텍스트 확률 : 89.96%"
"[ 애플크럼비 착샷입니다. 모델은 울 애기 로우니입니다. ㅎㅎ 옆에 날개부분의 여유로운핏과], 긍정 텍스트 확률 : 93.00%"
"[ 조금 거북한 사진일수있지만... 응아한 로우니입니다... 사진 보는방향에서 왼쪽에.. 응아가 고여있네요 우리 로우니는 지금 일된 아기인데요. 조금 빠른편이라. 애벌레처럼 조금씩 기는단계라 금방 응아를 갈아주지않으면 금방 응아가 새는데 애플크럼비를 사용하면서는 지금까지 한번도 샌적이없었네요...], 긍정 텍스트 확률 : 75.83%"
"[ 지금껏 사용한대로라면 단점없이 잘 사용하고있는 애플크럼비 기저귀입니다. 특별한 단점을 찾기전까지는 쭉사용할 예정이랍니다. 로우니처럼 등똥과 엉덩이발진이 잦은 아기로 아직까지 기저귀 유목민 생활을하고계신 맘님들 계시다면 자신있게 추천해드려요지금까지 내돈주고 구매해서 사용중이고], 긍정 텍스트 확률 : 94.07%"
"[좋은기회에 체험단의 기회까지 받게되어 사용후 쓴 후기입니다. ...? .?바비앤토미바비앤토미글이 맘에 드셨다면 좋아요 한번 클릭... ], 긍정 텍스트 확률 : 82.53%"
"[...? .?해운대해운대.?장산장산피부관리실웨딩케어네일샵추천경락바비앤토미뷰티샵 ...? .?해운대경락해운대경락.?해운대네일해운대네일산후관리하체경락브라질리언메이크업웨딩케어 ...? .?해운대마사지해운대마사지.?부산여행부산여행애플크럼비밤기저귀유기농기저귀명품기저귀천기저귀육아템오가닉기저귀 ], 긍정 텍스트 확률 : 79.58%"
"[최대특가쿠폰 애플크럼비 친환경 프리미엄 기저귀 밴드팬티 팩원 즉시할인가역대할인깜짝할인 상품을 열심히 찾아서 리스팅 해보았어요실히 저렴하고 싸게사는 유용한 방법과 팁입니다.특가상품 인기상품은 금방 품절되니 유의하세요해당 특가정보는 년 월 일 금요일 전 시 분 기준입니다. 상품 상세 구매정보와 리뷰후기를 확인하려면 래 링크주소로 들어가세요 ▼▼▼ .. ], 긍정 텍스트 확률 : 96.31%"
"[ 하루 중복할인원 즉시할인가깜짝역대 할인 상품을 열심히 찾아서 리스팅해보았어요특가상품 인기상품은 금방 품절되니 유의하세요해당 특가정보는 년 월 일 금요일 오후 시 분 기준입니다. 상품 구매 상세정보와 리뷰후기를 확인하시려면 아래 링크주소로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 66.37%"
"[나의 주말이 독박 육아라면], 긍정 텍스트 확률 : 68.34%"
"[ 복권 등 정도에 해당하는 신랑의 출근..그래도 우리 셋이 어디라도 가자며 준비를 하다가 지쳐 그냥 집 앞 놀이터에서 노는데..나가기 전 둘째에게 엄마], 긍정 텍스트 확률 : 75.29%"
"[정말이야.. 말 안 들으면 그냥 들어올 거야.. 듣기도 잘 듣고], 긍정 텍스트 확률 : 55.42%"
"[대답도 잘 하지만나가는 순간 누구의 아들인지 모른척하고플 때가 많아요 ㅋㅋ 두 달 뒤면 살이 되는데..미운 살이 지나간 건 아닐 거 같고], 긍정 텍스트 확률 : 63.39%"
"[얌전해질 거라는 기대를 내려놓게 한 내아들래미♥간식이며 반찬이며 모든 게 어린이 같지만], 긍정 텍스트 확률 : 99.16%"
"[아직 오가닉기저귀 차며 잠드는 세 살이지요. ], 긍정 텍스트 확률 : 64.63%"
"[우리 주 일은 이렇게 형을 기다리며 선택의 여지가 없는 데이트를 해야 하는데요.. 어찌나 따라오라고 하는지 ㅜㅠ겸사겸사 운동한다 생각하는데 추위보다 견딜 수 없는 건 생떼 지나가다 더 어린 아기를 데리고 계시는 분들은 저를 부러워하기도 해요. 다 키운듯해 보이는 개월 수... 그러나 더 어릴수록 케어는 수월함], 긍정 텍스트 확률 : 92.92%"
"[년 가까이 아이들을 육아하면서 알게 되는 게 많지만], 긍정 텍스트 확률 : 87.12%"
"[그중에서도 엄마들이 많은 관심을 갖는 게 위생용품이잖아요.오가닉기저귀 애플크럼비 새롭게 접해보는 거라 관심을 갖게 됐는데 하나하나 살펴보곤 꼭 우리 아이가 써보면 좋겠다는 생각을 갖게 됐답니다. ], 긍정 텍스트 확률 : 99.98%"
"[밥 잘 먹고 나면 이지만], 긍정 텍스트 확률 : 70.31%"
"[선택에 있어 중요한 것들을 대표적으로 꼽는다면 어떤 게 있을까요?그건 아이에 따라 다르겠지만], 긍정 텍스트 확률 : 78.12%"
"[일본 기술력으로 우수한 흡수력과 습기 방지 테두리 등.. 대표적으로 꼽는 것들에 있어서도 안심이 되기도 해요. ], 긍정 텍스트 확률 : 78.67%"
"[과연 애플크럼비에는 어떤 반응을 보일지가 가장 궁금했답니다 제가 좋아 보여서 사는 것보단 아이가 편안하게 잘 찬다 싶으면 이제는 사게 되거든요. 그래서 다른 걸로 바꾸고 나면 관심 있게 보곤 해요. ], 긍정 텍스트 확률 : 96.77%"
"[오늘은 아빠의 부재로 오가닉기저귀 신축성 테스트는 살 형님이 도와줬어요ㅋㅋ허리밴드를 잡고 쭉 잡아당겨 보겠습니다. ], 긍정 텍스트 확률 : 69.20%"
"[습기를 방지해주는 부분이 나풀나풀하다 보니 아이들이 다리를 구부리고 앉고 해도 조이지 않고], 긍정 텍스트 확률 : 55.64%"
"[착용했을 때에도 살에 닿지 않아 불편해하지 않더라고요. 이 부분에 있어서는 까칠한 우리 아들이 증명해줘요 ㅋㅋ ], 긍정 텍스트 확률 : 60.74%"
"[하루에 한 번은 꼭 타야 하는 자동차], 긍정 텍스트 확률 : 60.46%"
"[아이도 밤에는 그래도 하는 게 낫다 싶어요.], 긍정 텍스트 확률 : 63.48%"
"[깔끔한 디자인과 함께 기능도 충분히 발휘가 되네요 ], 긍정 텍스트 확률 : 90.28%"
"[두 아들과 일 같은 이틀의 주말을 보내면서 빨리 컸을 좋겠다는 말을 오십 번은 한거 같아요..다 크고 나면 이때가 그리워질 텐데요.. 어른들 말씀하시길 그래도 기저귀 찰 때가 좋은 때라고 하니깐요.제가 느끼기엔 살 정도도 괜찮습니다 ], 긍정 텍스트 확률 : 67.57%"
"[선택에 있어 고민이 많이 되고 후기를 찾아보고 선택하게 되는 게 아이 용품이고], 긍정 텍스트 확률 : 52.41%"
"[그중에서 위생 관련에 있어서는 까다롭게 만들어지고 선택. 비교되어야 한다는 생각을 하는데요. 오가닉기저귀 애플크럼비를 구매하시는 분들께 도움이 되었으면 합니다..? ..? ], 긍정 텍스트 확률 : 71.70%"
"[기저귀 발진등의문제로 다른 기저귀를 서치하다알게 된 ], 긍정 텍스트 확률 : 72.55%"
"[요렇게 뜯는 점선이 있고 ], 긍정 텍스트 확률 : 58.25%"
"[기존에 사용중이던리베로와 비교샷 ], 긍정 텍스트 확률 : 58.40%"
"[우리 아들은 개월 후반쯤 구매했고몸무게는 ..쯤 ], 긍정 텍스트 확률 : 76.69%"
"[사고나서야나도 제대로 보네ㅋㅋ ], 긍정 텍스트 확률 : 83.41%"
"[아래는 홈페이지에도 나와있는기저귀 제조관련 내용공식홈피를 보니말레이시아에서 시작된 듯? ], 긍정 텍스트 확률 : 50.75%"
"[그런데 이번 팩은 만들다 컷팅이잘못된건지 잘린 천조각이ㅠㅠ계속 나옴ㅠㅠ ], 긍정 텍스트 확률 : 90.95%"
"[요렇게 조각이...ㅠㅠ근데 뭐 딱히 문제되지는 않으니까사용 하는중ㅎㅎ ], 긍정 텍스트 확률 : 96.46%"
"[그리구 기저귀 비닐에 있는 공식 말레이시아홈피에 가보면 ], 긍정 텍스트 확률 : 57.91%"
"[우리나라 공식홈에서는팩에 ], 긍정 텍스트 확률 : 66.76%"
"[환율을 따져 계산해보면팩을 더주고 만원정도 차이뭐 수입하고 그런거 생각하면...암튼 나는 좀ㅠㅠ가격이 아쉽다특히 기존에 사용중이던리베로와 장당 가격을 비교해보면리베로는 원정도애플크럼비는 원뭐 재료를 훨씬 더 좋은걸 쓰나봄 ], 긍정 텍스트 확률 : 97.91%"
